trade_id,symbol,side,entry_ts_utc,exit_ts_utc,entry_price,exit_price,stop_price,target_price,qty,hold_bars,exit_reason,gross_pnl,realized_pnl,fees,slippage_cost,funding,mae,mfe,return_units,entry_bar_exit,ambiguous_intrabar,tag
61,BTCUSDT,short,2021-12-26T00:00:00+00:00,2021-12-27T00:00:00+00:00,50378.4,51810.2,51810.2,47590.6,0.001,1,stop,-1.4317999999999957,-1.4880037299999958,0.05620373,0.025239999999997962,0.0,-1.7555999999999985,1.0284000000000015,-0.029536542049767276,False,False,tsm_pressure_zone
62,BTCUSDT,short,2021-12-28T00:00:00+00:00,2021-12-28T00:00:00+00:00,50682.3,47844.7,52139.2,47844.7,0.001,0,target_entry_bar,2.837600000000006,2.7834101500000057,0.05418985,0.025419999999998253,0.0,-0.031259999999994764,3.392300000000003,0.05491878131024056,True,False,tsm_pressure_zone
63,BTCUSDT,short,2022-01-01T00:00:00+00:00,2022-01-07T00:00:00+00:00,46187.4,41472.0,48579.9,41472.0,0.001,6,target,4.715400000000002,4.667187330000002,0.048212670000000006,0.023169999999998254,0.0,-1.8125999999999987,5.730840000000004,0.10104892957819668,False,False,tsm_pressure_zone
64,BTCUSDT,short,2022-01-11T00:00:00+00:00,2022-01-11T00:00:00+00:00,41780.6,42778.1,42778.1,39848.4,0.001,0,stop_entry_bar,-0.9975,-1.0440072850000002,0.04650728500000001,0.020950000000004364,0.0,-1.3374000000000015,0.5255999999999985,-0.024987848068242204,True,False,tsm_pressure_zone
65,BTCUSDT,short,2022-01-17T00:00:00+00:00,2022-01-17T00:00:00+00:00,43039.1,41573.2,43804.4,41573.2,0.001,0,target_entry_bar,1.4659000000000015,1.4193632350000016,0.046536765,0.021560000000004947,0.0,-0.12022000000000117,1.5154199999999982,0.032978459935268205,True,False,tsm_pressure_zone
66,BTCUSDT,short,2022-01-21T00:00:00+00:00,2022-01-22T00:00:00+00:00,40641.7,34986.4,43499.3,34986.4,0.001,1,target,5.655299999999996,5.613704544999996,0.041595455,0.020360000000000582,0.0,-0.45406000000000496,6.691699999999997,0.13812671578698715,False,False,tsm_pressure_zone
67,BTCUSDT,short,2022-01-27T00:00:00+00:00,2022-02-01T00:00:00+00:00,36769.0,38890.5,38890.5,32581.4,0.001,5,stop,-2.1215,-2.163112725,0.041612725,0.018419999999998254,0.0,-2.4912600000000023,1.2974700000000012,-0.05882979479996737,False,False,tsm_pressure_zone
68,BTCUSDT,short,2022-02-03T00:00:00+00:00,2022-02-04T00:00:00+00:00,36873.6,39264.2,39264.2,32147.7,0.001,1,stop,-2.3905999999999987,-2.432475789999999,0.041875789999999996,0.018450000000004366,0.0,-4.868160000000003,0.6692999999999957,-0.0659679496984292,False,False,tsm_pressure_zone
69,BTCUSDT,short,2022-02-24T00:00:00+00:00,2022-02-24T00:00:00+00:00,37209.2,39514.0,39514.0,32655.5,0.001,0,stop_entry_bar,-2.304800000000003,-2.346997760000003,0.04219776,0.018700000000004366,0.0,-3.1669000000000014,2.9055,-0.06307573825828029,True,False,tsm_pressure_zone
70,BTCUSDT,short,2022-02-27T00:00:00+00:00,2022-02-28T00:00:00+00:00,39079.7,40445.1,40445.1,36407.6,0.001,1,stop,-1.3654000000000015,-1.4091386400000014,0.043738639999999995,0.01960000000000582,0.0,-5.261300000000003,2.1450999999999985,-0.03605807209369574,False,False,tsm_pressure_zone
